DATE,Lumber,Steel,Copper,WTI Oil,Hosing Index
1/1/1995,179.7333333,128.2333333,149,18.35666667,129.49
4/1/1995,173,129.8,150.5666667,19.34333333,131.75
7/1/1995,173.1,129.9,151.5,17.85333333,133.35
10/1/1995,167.9,127.3,150.2666667,18.15666667,134.18
1/1/1996,167.3666667,126.3333333,147.2333333,19.77,135.55
4/1/1996,179.4,126.1333333,147.0666667,21.75666667,135.3
7/1/1996,185,126.1333333,140.8666667,22.42333333,135.61
10/1/1996,187.4666667,124.6666667,140.6666667,24.66666667,136.07
1/1/1997,193.9666667,126.1,142.3666667,22.79,136.76
4/1/1997,200.3666667,125.9666667,142.3,19.90666667,137.75
7/1/1997,196,126.7666667,140.1333333,19.78333333,139.03
10/1/1997,187.7666667,127,135.4666667,19.91666667,140.68
1/1/1998,186.5333333,126.4333333,132.1,15.93,142.96
4/1/1998,181.9333333,125.2666667,131.7,14.65333333,143.98
7/1/1998,177.7,122.4333333,128.6,14.13,146.27
10/1/1998,171.8666667,115.9,126.7,12.84,147.87
1/1/1999,181.6666667,113.5333333,124.5666667,13.04666667,149.24
4/1/1999,189.7666667,113.2333333,125.4333333,17.66,152.13
7/1/1999,195.8666667,113.7666667,129,21.73666667,154.62
10/1/1999,185.6,115.6333333,130.3333333,24.56333333,156.47
1/1/2000,188.9333333,118.3,131.8,28.80666667,158.8
4/1/2000,182.0666667,118.3333333,132.0333333,28.78333333,161.45
7/1/2000,173.5666667,116.4666667,133.8333333,31.62333333,163.84
10/1/2000,170.5333333,113.3,135.1333333,31.98,165.76
1/1/2001,168.1,111.1,133.6666667,28.81,170.44
4/1/2001,178.1,109.9333333,130.4,27.88333333,172.67
7/1/2001,174.3333333,109.8333333,129.3333333,26.6,173.97
10/1/2001,165.8333333,107.8333333,127.4,20.40333333,175.92
1/1/2002,171.4666667,107.9333333,127.9333333,21.61,176.42
4/1/2002,172.5,112.8,128.7,26.27,177.93
7/1/2002,170.5,117.1666667,129.1,28.33,180.68
10/1/2002,167.8,118.3333333,127.2666667,28.18,182.58
1/1/2003,169.2,119.8,127.0333333,34.12,183.45
4/1/2003,169.9,119.9,128.6666667,29.03666667,184.63
7/1/2003,178.2,120.7333333,130.7,30.21333333,185.22
10/1/2003,180.1333333,125.5333333,135.7,31.19,186.35
1/1/2004,191.3666667,142.6333333,150.8333333,35.25666667,187.26
4/1/2004,210.1333333,154.9666667,154.4666667,38.33,189.13
7/1/2004,215.3666667,171.4,151.3333333,43.86,190.67
10/1/2004,197.6666667,180.6333333,156.9,48.30666667,192.87
1/1/2005,203.1666667,179.1333333,172.1666667,49.70666667,193.83
4/1/2005,201.3333333,169.8666667,177.2333333,53.04333333,196.98
7/1/2005,196.5666667,163.6666667,189.0333333,63.08,200.15
10/1/2005,193.5,171.9,233.7333333,60.03333333,202.51
1/1/2006,200.1666667,176.6666667,243.1333333,63.34666667,204.87
4/1/2006,197.2333333,184.4666667,331.1333333,70.53,208.09
7/1/2006,183.9666667,193.8,356.3,70.44333333,211.17
10/1/2006,172.9,191.1666667,315.9333333,60.09333333,214.07
1/1/2007,177.0666667,197.1333333,279.3,58.13,216.87
4/1/2007,176.6,206.7666667,320.1,64.97,220.49
7/1/2007,176.7333333,201.5333333,321.5,75.5,221.23
10/1/2007,168.5666667,198.8,311.5333333,90.85,222.89
1/1/2008,162.5666667,216.4,324.3666667,97.95333333,224.18
4/1/2008,167.4333333,268.4333333,348,123.9633333,224.8
7/1/2008,166.9666667,287.1666667,340.9666667,117.9833333,224.04
10/1/2008,157,213.6666667,258.8,58.37,224.45
1/1/2009,147.9,185.6,211.5333333,42.96,227.08
4/1/2009,144.4333333,169.7333333,241.1666667,59.54333333,225.54
7/1/2009,151.6333333,186.3,273.2,68.20333333,223.34
10/1/2009,153.7,194.3666667,295.0333333,76.06666667,222.77
1/1/2010,164.2666667,212.3333333,323.1,78.62666667,221.35
4/1/2010,175.3,233.6666667,325.4666667,77.89,221.51
7/1/2010,165.4333333,223.6,324.6666667,76.16666667,222.9
10/1/2010,164.2666667,224.5333333,374.0666667,85.02666667,221.91
1/1/2011,169.2333333,247.2666667,392.6333333,93.98,218.68
4/1/2011,166.6333333,256.8333333,391.4666667,102.5533333,217.58
7/1/2011,166.4,256.7666667,393.6,89.71,219.44
10/1/2011,164.1,252.0666667,358.2666667,94.06333333,219.65
1/1/2012,166.5333333,254.5666667,355.2666667,102.8933333,219.51
4/1/2012,173.2,247.2666667,340.7666667,93.48,221.01
7/1/2012,173.5666667,233,339.3333333,92.27,222.96
10/1/2012,176.5,228,339.3,88.16,224.63
1/1/2013,197.0333333,227.6,337.7333333,94.35333333,226.26
4/1/2013,200.5,224.5333333,320.8333333,94.22333333,230.33
7/1/2013,193.7666667,224.8,317.6333333,105.8233333,234.32
10/1/2013,203.4666667,228.7666667,312.5666667,97.34333333,237.01
1/1/2014,214.5333333,234.7333333,313.9333333,98.74666667,240.96
4/1/2014,216.2333333,233.5666667,304.0333333,103.3466667,247.29
7/1/2014,216.9666667,233.2,312.4,97.78,251.67
10/1/2014,211.7333333,226.9333333,307.0333333,73.16,254.67
1/1/2015,207.4666667,212.2666667,285.6,48.54,258.51
4/1/2015,199.9,199.8333333,288.2333333,57.84666667,265
7/1/2015,196.1666667,193.9,272.7666667,46.41666667,270.65
10/1/2015,193.6,176.3,256.9666667,41.95,273.17
1/1/2016,194.9,173.7333333,246.7,33.18333333,277.13
4/1/2016,202.8333333,190.2,241.4666667,45.40666667,284.27
7/1/2016,205.5,193.2666667,238.7666667,44.85,290.01
10/1/2016,203.8333333,190.7,255.8666667,49.13666667,293.31
1/1/2017,208.3333333,208.4666667,268.1,51.76666667,297.2
4/1/2017,216.7666667,213.2,270.6666667,48.24,306.14
7/1/2017,219.9,215.2333333,286.8666667,48.16333333,310.88
10/1/2017,223.9333333,211.0666667,297.5333333,55.36666667,313.67
1/1/2018,234.2,222.4,299.9666667,62.88666667,317.96
4/1/2018,247.4,238.5333333,311.5333333,68.03333333,324.86
7/1/2018,235.9,244.6,308.5666667,69.75666667,328.95
10/1/2018,211.5333333,245.5333333,297.2,59.07666667,330.11
1/1/2019,213.1,238.2333333,295.1,54.82666667,334.01
4/1/2019,209.6666667,228.7666667,302.4666667,59.78333333,340.13
7/1/2019,209.9,215.6666667,295.6666667,56.37,344.5
10/1/2019,208.9666667,206.2666667,295.2,56.95666667,347.02
1/1/2020,215.6333333,210.6,293.9333333,45.75666667,350.58
4/1/2020,213.5333333,203.9,284.3,27.80666667,353.34
7/1/2020,277.7666667,202.1666667,309.15,40.89333333,358.74
10/1/2020,285.6666667,216.4,324.2,42.45333333,366.38
1/1/2021,343.3,263.3,349.7333333,57.79,374.24
