DATE,Lumber,Steel,Copper ,CEMENT
1/1/1980,108.2,87.7,.,.
2/1/1980,109.9,88.6,.,.
3/1/1980,109.6,89,.,.
4/1/1980,99.8,90.6,.,.
5/1/1980,97,89.9,.,.
6/1/1980,100.7,89.5,.,.
7/1/1980,105.3,88.7,.,.
8/1/1980,107.4,89.3,.,.
9/1/1980,105.6,89.8,.,.
10/1/1980,103.2,91.6,.,.
11/1/1980,104.6,92.2,.,.
12/1/1980,107.1,93.3,.,.
1/1/1981,106.6,95.3,.,.
2/1/1981,105.2,95.3,.,.
3/1/1981,104.9,96.8,.,.
4/1/1981,107.4,97.6,.,.
5/1/1981,108.2,97.5,.,.
6/1/1981,108,97.4,.,.
7/1/1981,107,99.9,.,.
8/1/1981,106.2,100.3,.,.
9/1/1981,103,100.2,.,.
10/1/1981,100.3,100.7,.,.
11/1/1981,98.7,100.3,.,.
12/1/1981,99.7,100.3,.,.
1/1/1982,99.7,101.2,.,.
2/1/1982,99.1,101.1,.,.
3/1/1982,99.2,101,.,.
4/1/1982,100.5,101.1,.,.
5/1/1982,99.9,100.7,.,.
6/1/1982,101.6,99.8,.,.
7/1/1982,102.7,99.5,.,.
8/1/1982,100.3,99.4,.,.
9/1/1982,99.8,99.3,.,.
10/1/1982,98.3,99.6,.,.
11/1/1982,98.2,99.1,.,.
12/1/1982,100.6,98.2,.,.
1/1/1983,105.2,98.3,.,.
2/1/1983,110.9,100.3,.,.
3/1/1983,112.4,100.8,.,.
4/1/1983,114,100.7,.,.
5/1/1983,115.4,100.6,.,.
6/1/1983,120,100.7,.,.
7/1/1983,120.1,100.9,.,.
8/1/1983,118,101.2,.,.
9/1/1983,111.5,102.7,.,.
10/1/1983,110.9,102.8,.,.
11/1/1983,110.3,103.1,.,.
12/1/1983,113,103.5,.,.
1/1/1984,113.5,104.4,.,.
2/1/1984,117.4,105.1,.,.
3/1/1984,119.2,105.1,.,.
4/1/1984,118.9,105.1,.,.
5/1/1984,114.4,105.4,.,.
6/1/1984,112.8,105.3,.,.
7/1/1984,110.2,105.4,.,.
8/1/1984,110.1,105.4,.,.
9/1/1984,108.8,105.6,.,.
10/1/1984,107.6,105.7,.,.
11/1/1984,108.3,105.5,.,.
12/1/1984,109.2,105.3,.,.
1/1/1985,110.4,105.3,.,.
2/1/1985,110.4,105.4,.,.
3/1/1985,110.7,105.5,.,.
4/1/1985,109.4,105.4,.,.
5/1/1985,112.4,105,.,.
6/1/1985,116.8,104.6,.,.
7/1/1985,114.1,104.5,.,.
8/1/1985,110,104.6,.,.
9/1/1985,107,104.6,.,.
10/1/1985,105.3,104.5,.,.
11/1/1985,103.8,104.1,.,.
12/1/1985,104.8,104.1,.,.
1/1/1986,106,101,.,.
2/1/1986,105.7,101.1,.,.
3/1/1986,108.3,100.8,.,.
4/1/1986,113.3,101,.,.
5/1/1986,113,101.2,.,.
6/1/1986,110.4,101.1,.,.
7/1/1986,111.1,101.1,.,.
8/1/1986,111.3,101.2,.,.
9/1/1986,112.9,101.4,.,.
10/1/1986,111.1,101.4,.,.
11/1/1986,112,101.3,.,.
12/1/1986,111.3,101.3,100,.
1/1/1987,111.9,102,100.1,.
2/1/1987,114.4,102.3,100,.
3/1/1987,116,101.9,101.1,.
4/1/1987,116.8,101.9,101.2,.
5/1/1987,116.9,102.2,102.2,.
6/1/1987,117.9,102.5,101.5,.
7/1/1987,119.7,103.1,108.8,.
8/1/1987,120.2,103.7,112,.
9/1/1987,123.3,105.4,112.3,.
10/1/1987,120.5,109.5,114.3,.
11/1/1987,120.4,110.4,121.1,.
12/1/1987,120.3,109.9,134.9,.
1/1/1988,120.8,110.9,143.9,.
2/1/1988,121.5,113,122.5,.
3/1/1988,123,113.6,130.1,.
4/1/1988,123.9,114.8,129.7,.
5/1/1988,123.8,115,126.7,.
6/1/1988,124.4,114.9,134.9,.
7/1/1988,125.1,117,129.7,.
8/1/1988,123.2,118,125.5,.
9/1/1988,120.9,117.4,133.2,.
10/1/1988,120,118.3,137.2,.
11/1/1988,119.9,117.6,157.9,.
12/1/1988,118.8,117.6,158.8,.
1/1/1989,119.8,119.7,160.9,.
2/1/1989,122.3,120.6,158.4,.
3/1/1989,123.4,120.7,158.6,.
4/1/1989,126.5,120.8,153.1,.
5/1/1989,128.5,120.6,154.7,.
6/1/1989,128.7,119.8,144.1,.
7/1/1989,130,119,140,.
8/1/1989,128.8,118.4,139.3,.
9/1/1989,127,118.1,148.5,.
10/1/1989,127.3,117.8,146.1,.
