DATE,housing 
1/1/1980,100
4/1/1980,104.44
7/1/1980,103.89
10/1/1980,105.58
1/1/1981,104.49
4/1/1981,111.12
7/1/1981,114.45
10/1/1981,112.51
1/1/1982,122.41
4/1/1982,119.21
7/1/1982,118.23
10/1/1982,120.99
1/1/1983,125.59
4/1/1983,125.83
7/1/1983,125.7
10/1/1983,126.13
1/1/1984,125.08
4/1/1984,126.18
7/1/1984,128.58
10/1/1984,128.02
1/1/1985,126.64
4/1/1985,127.72
7/1/1985,127.67
10/1/1985,126.46
1/1/1986,129.41
4/1/1986,131.48
7/1/1986,128.82
10/1/1986,126.47
1/1/1987,126.85
4/1/1987,123.12
7/1/1987,118.23
10/1/1987,114.73
1/1/1988,114.67
4/1/1988,116.58
7/1/1988,113.9
10/1/1988,113.02
1/1/1989,113.29
4/1/1989,114.31
7/1/1989,116.52
10/1/1989,116.25
1/1/1990,115.99
4/1/1990,116.88
7/1/1990,117.69
10/1/1990,116.82
1/1/1991,118.25
4/1/1991,119.47
7/1/1991,119.57
10/1/1991,120.98
1/1/1992,122.98
4/1/1992,122.53
7/1/1992,124.6
10/1/1992,125.1
1/1/1993,125.51
4/1/1993,126.61
7/1/1993,128.07
10/1/1993,129.31
1/1/1994,129.91
4/1/1994,130.13
7/1/1994,130.22
10/1/1994,129.54
1/1/1995,129.49
4/1/1995,131.75
7/1/1995,133.35
10/1/1995,134.18
1/1/1996,135.55
4/1/1996,135.3
7/1/1996,135.61
10/1/1996,136.07
1/1/1997,136.76
4/1/1997,137.75
7/1/1997,139.03
10/1/1997,140.68
1/1/1998,142.96
4/1/1998,143.98
7/1/1998,146.27
10/1/1998,147.87
1/1/1999,149.24
4/1/1999,152.13
7/1/1999,154.62
10/1/1999,156.47
1/1/2000,158.8
4/1/2000,161.45
7/1/2000,163.84
10/1/2000,165.76
1/1/2001,170.44
4/1/2001,172.67
7/1/2001,173.97
10/1/2001,175.92
1/1/2002,176.42
4/1/2002,177.93
7/1/2002,180.68
10/1/2002,182.58
1/1/2003,183.45
4/1/2003,184.63
7/1/2003,185.22
10/1/2003,186.35
1/1/2004,187.26
4/1/2004,189.13
7/1/2004,190.67
10/1/2004,192.87
1/1/2005,193.83
4/1/2005,196.98
7/1/2005,200.15
10/1/2005,202.51
1/1/2006,204.87
4/1/2006,208.09
7/1/2006,211.17
10/1/2006,214.07
1/1/2007,216.87
4/1/2007,220.49
7/1/2007,221.23
10/1/2007,222.89
1/1/2008,224.18
4/1/2008,224.8
7/1/2008,224.04
10/1/2008,224.45
1/1/2009,227.08
4/1/2009,225.54
7/1/2009,223.34
10/1/2009,222.77
1/1/2010,221.35
4/1/2010,221.51
7/1/2010,222.9
10/1/2010,221.91
1/1/2011,218.68
4/1/2011,217.58
7/1/2011,219.44
10/1/2011,219.65
1/1/2012,219.51
4/1/2012,221.01
7/1/2012,222.96
10/1/2012,224.63
1/1/2013,226.26
4/1/2013,230.33
7/1/2013,234.32
10/1/2013,237.01
1/1/2014,240.96
4/1/2014,247.29
7/1/2014,251.67
10/1/2014,254.67
1/1/2015,258.51
4/1/2015,265
7/1/2015,270.65
10/1/2015,273.17
1/1/2016,277.13
4/1/2016,284.27
7/1/2016,290.01
10/1/2016,293.31
1/1/2017,297.2
4/1/2017,306.14
7/1/2017,310.88
10/1/2017,313.67
1/1/2018,317.96
4/1/2018,324.86
7/1/2018,328.95
10/1/2018,330.11
1/1/2019,334.01
4/1/2019,340.13
7/1/2019,344.5
10/1/2019,347.02
1/1/2020,350.58
4/1/2020,353.34
7/1/2020,358.74
10/1/2020,366.38
1/1/2021,374.24
