RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
102001,0,United States,Country,,1426397,1383906,1441048,1527950,1629488,1702928,1754075,1778632,1767533,1747062,1690115,1593189,1505003,1456490,1502950,1569397,1661636,1733260,1777903,1788407,1769611,1739592,1666157,1550091,1446610,1396717,1422331,1409811,1431105,1429933,1454172,1424235,1379006,1338265,1260282,1150989,1057433,977885,967256,949788
394913,1,"New York, NY",Msa,NY,68575,68132,72655,79566,85571,90094,92200,91703,90473,89709,87476,82261,77014,74793,78474,84310,91121,95737,97294,95790,94040,92028,88515,81482,75069,72643,74852,72503,70717,70287,76404,80346,81775,80888,77552,70941,64313,60050,59409,60205
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20153,19986,21953,23882,25855,27449,29152,30220,30765,30990,30469,28699,27066,26234,27531,28810,30490,31413,32109,31955,31419,30440,28397,25168,22395,21342,21894,21581,22002,22995,25045,26022,26415,26403,25334,23004,20756,19531,20053,20410
394463,3,"Chicago, IL",Msa,IL,43034,41384,45056,49612,54147,56495,58394,59368,59210,58454,55696,50854,46124,44318,47328,52328,57243,60415,61758,62230,61896,60853,57604,52145,47386,46028,47885,47807,48190,48729,51277,51927,51050,49750,46523,41657,37046,33383,33003,33350
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24283,23203,24345,26749,29538,31955,33918,35089,35141,34278,33045,31080,29607,28931,30484,32445,34882,37292,39353,40407,39837,38705,36959,34552,32346,31448,32138,32267,33239,33815,34703,33521,31439,30134,28398,26348,23952,21761,21306,20957
394974,5,"Philadelphia, PA",Msa,PA,26163,24718,25715,27948,30197,31306,31000,30122,29338,29133,28514,26942,25202,24047,25022,26718,28652,29745,30281,29796,29068,28112,26946,24847,22690,21667,21816,20737,20468,20682,22081,22264,21633,21176,20147,18413,16731,15451,15818,16475
394692,6,"Houston, TX",Msa,TX,32985,32147,33766,35826,38655,40336,41647,42086,41349,40317,38765,37122,36112,35806,37384,38962,41059,43275,45110,46141,45294,43961,42092,40161,38870,38671,39756,39863,40550,40348,40349,38650,36700,35156,33132,30955,29325,27767,27491,26195
395209,7,"Washington, DC",Msa,DC,22169,20891,22460,25804,28735,28895,27640,26110,25707,25519,24616,22276,19451,17750,18851,21174,23920,25376,25649,24792,24092,23609,22545,20045,17725,16794,17996,18521,19201,18915,19295,19023,19030,19098,18418,16586,14700,13527,14404,15851
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,61075,62721,65818,67113,67572,66021,64597,63481,62926,63433,64091,64559,66017,67963,70824,71333,70945,69348,67787,66018,64438,63861,63501,63100,63327,64071,65045,62900,61568,60789,61367,60587,59551,59272,58357,56850,55124,51616,47715,42573
394347,9,"Atlanta, GA",Msa,GA,32435,31210,32416,33928,35692,37346,38973,40149,39923,39398,38198,36428,35015,35841,37695,39529,40604,42431,43934,44789,44702,44409,43002,40753,38927,38213,39298,39642,41049,41291,41277,39586,37385,35786,33465,30855,28146,25772,24906,23927
394404,10,"Boston, MA",Msa,MA,10531,9498,10074,11708,14014,15894,16772,16635,16756,17161,16901,15058,13011,11829,12612,14109,16395,17939,18306,17445,17038,17072,16466,14080,11591,10503,11153,11435,12256,13138,14385,14592,14515,14496,13687,11604,9495,8252,8773,9679
395057,11,"San Francisco, CA",Msa,CA,4445,4267,5241,6320,7338,7888,8166,8166,8452,8897,8788,7639,6397,5998,6786,7822,8823,9346,9506,9174,9173,9200,8699,7099,5570,5203,5748,5969,6510,7297,8584,9181,9587,9980,9609,8348,6911,6483,7099,7778
394532,12,"Detroit, MI",Msa,MI,15146,13974,14217,15159,16866,18461,19908,21165,21773,21959,21139,19637,18079,16849,16885,17455,18998,20675,22265,23432,23967,23959,22827,20862,18899,17626,17174,15680,16123,16789,18562,18512,17966,17367,15970,14172,12462,11155,10968,10993
395025,13,"Riverside, CA",Msa,CA,17510,17621,18603,19464,20289,20933,21602,21926,22020,22083,21951,21271,20717,20292,20867,21215,21619,21670,21661,21631,21348,21091,20349,19146,18079,17456,17409,16697,16444,16024,15708,14852,14165,13963,13338,12244,11084,10315,10351,10347
