RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
102001,0,United States,Country,,107689,107716,107767,107893,108037,108207,108374,108587,108804,109062,109314,109587,109773,110008,110261,110589,110921,111232,111568,111866,112182,112463,112818,113207,113786,114320,114833,115179,115554,115939,116353,116820,117348,117913,118398,118829,119200,119680,120210,120837,121437,122116,122808,123438,124003,124564,125235,125938,126668,127390,128116,128858,129600,130320,131038,131801,132602,133411,134238,135097,135946,136736,137519,138314,139117,139893,140652,141421,142196,142985,143745,144489,145232,146009,146803,147595,148398,149243,150131,151039,151940,152867,153828,154821,155798,156760,157705,158655,159613,160546,161488,162491,163585,164731,165877,167019,168231,169546,170946,172351,173837,175396,177048,178672,180290,181891,183514,185211,186955,188703,190420,192219,194036,195932,197848,199788,201724,203554,205303,206881,208291,209570,210816,211997,213084,213987,214689,215216,215536,215766,215910,215993,216059,216075,216036,215903,215587,215123,214502,213903,213192,212394,211409,210373,209164,207723,206092,204331,202611,200875,199150,197287,195502,193707,191858,189942,188080,186518,185014,183549,182115,180885,179934,179141,178460,177929,177711,177612,177548,177348,177199,177163,177083,176798,176106,175279,174325,173388,172344,171366,170390,169467,168495,167456,166419,165523,164903,164451,164116,163749,163423,163105,162894,162765,162839,163076,163467,163883,164351,164874,165475,166173,166977,167854,168834,169867,171006,172191,173441,174746,176087,177431,178735,179968,181080,182109,183071,183999,184733,185337,185881,186485,187077,187593,188099,188692,189412,190169,190894,191639,192508,193409,194322,195134,195938,196796,197686,198555,199342,200210,201156,202125,202985,203879,204788,205774,206781,207801,208828,209863,210972,212055,213120,214161,215280,216448,217610,218775,219891,221027,222205,223442,224703,225954,227163,228418,229681,230952,232245,233494,234667,235671,236548,237344,238117,238923,239792,240591,241303,241951,242821,243801,244731,245410,245960,246498,247039,247714,248634,249723,250975,252173,253337,254518,256037,257996,260291,262823,265571,268430,271323,274388,277672,281370
394913,1,"New York, NY",Msa,NY,187667,187228,186950,186417,186100,185810,185633,185541,185585,185709,185833,185979,186253,186862,187576,188246,188743,189364,189985,190606,191121,191629,192348,193170,194068,194668,195137,195555,196089,196667,197237,198035,199031,200250,201336,202481,203432,204605,205852,207453,209196,211030,213099,214924,216718,218311,220147,222049,224097,226327,228730,231121,233414,235714,238064,240439,242826,245197,247616,249987,252346,254815,257243,259785,262262,264790,267164,269561,272016,274790,277571,280354,283173,285854,288428,291026,293748,296727,299820,303487,307379,311283,315014,318905,322771,326746,330914,334884,338732,342310,345955,349309,352353,355245,358308,361467,365034,368590,372305,375830,379757,383875,388399,392905,397639,402405,407230,411758,416111,420245,424401,429189,434032,438823,443279,447918,452759,457740,462384,466995,470923,474681,477295,479513,481245,483165,484492,484875,484438,483059,481534,479768,478182,476857,476598,476019,475569,473882,472231,470540,468806,467665,466369,464924,463493,461637,459153,456513,452893,449781,446451,443702,440761,437427,433889,430478,426634,422801,419178,415753,413142,410284,407779,405124,403343,402221,401758,401528,401447,401510,401042,400831,400393,400806,401069,401192,400584,399377,397816,395932,394550,393269,392518,391105,389563,387386,385518,383846,382426,381125,379671,378453,377091,375753,374483,373556,373016,372826,372653,372565,372532,372635,373142,373866,374580,375462,376372,377809,379379,380993,382720,384448,386313,388330,390286,392004,393892,395552,397387,398652,399862,400878,401776,402702,403531,404276,404729,405505,406297,407450,408182,409152,409948,411048,411974,412843,413751,414698,416149,417286,418055,418678,419514,420820,421877,422910,424008,425309,426666,428128,429556,431183,433129,434782,436583,437855,440072,442311,445046,447468,449704,451645,453367,455099,457175,459675,462212,464772,466845,468731,469872,470957,472103,473502,474853,475858,476497,477012,477699,478481,479464,480413,481217,481442,480764,479678,478656,478536,479366,480680,482286,483961,485687,487611,490082,493305,497449,502082,507015,511723,516143,520568,525123,530082
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,188830,189094,189114,189224,189197,189225,189327,189278,189162,189063,189041,189168,188832,188254,187916,188122,188656,189144,189776,190692,191725,192716,193641,194683,196411,198554,200555,202040,203427,204745,205779,207153,208867,210782,212636,214113,215884,217449,219139,220629,222135,224202,226432,227961,229114,230445,232401,234434,236155,237870,239836,242100,244464,246655,248815,251215,253612,255891,258041,260362,262588,264948,267174,269737,272051,274353,276354,278531,280857,283588,286147,288895,291710,294904,298280,301874,305494,309694,314558,319719,324750,329820,335375,340955,346038,350599,355201,359707,364643,368879,374266,380283,387231,393468,400659,407868,416472,425211,434522,444610,455965,467762,477802,486191,494468,502951,510119,517275,523940,532016,540037,547845,554249,560680,569046,578143,587933,597147,604742,611873,617786,623029,627595,631558,636239,639516,640836,642031,640384,639738,638382,638300,637589,636360,634500,633086,630177,627453,622385,615917,607470,598771,592075,584691,577103,566275,554565,540291,526053,513647,502919,493442,486174,478525,469436,457768,449223,444758,441452,438151,435248,432587,431385,431413,432422,433865,436518,440593,441724,440229,439955,442016,445795,445152,442927,439331,436463,433402,429167,426331,424898,424488,422379,419382,414130,412706,411632,410679,407872,405142,404756,403780,402557,400927,400193,400215,401865,403516,406227,409064,412995,418174,422482,428152,433686,442239,451386,461562,470435,479093,486714,495655,503536,509602,514805,518428,522669,523521,523987,523462,523963,524464,526058,525823,526328,526987,529910,532570,536060,540149,544415,546827,549408,552021,554774,557948,561257,565214,567910,572562,575103,578469,580313,584499,588112,591346,594125,597765,601728,605575,608433,610228,613917,616655,620384,622692,626477,630282,633848,636815,639782,642800,647705,652823,657122,661619,665922,670371,673704,677133,679120,679398,678380,678663,679161,678697,677867,675440,673552,672836,676166,680060,681963,681950,682736,684388,685940,688499,692734,698708,705515,709768,710884,710696,715077,722335,730096,737143,744374,751887,759038,766406,773765,783610
394463,3,"Chicago, IL",Msa,IL,148709,148690,148567,148629,148533,148698,148742,149764,151021,153051,152910,152430,151291,151666,152229,152509,153059,153209,153326,151508,149173,145562,145771,146824,149273,149486,149740,150030,150266,150486,151114,152845,155224,158244,159745,160680,160651,161388,162138,163059,163856,165017,166213,167349,168131,168993,169509,170077,170890,172235,173598,174815,176011,177154,178242,179435,180722,181999,183311,184665,185977,187085,188219,189436,190832,192150,193330,194483,195688,197037,198348,199535,200574,201694,202980,204083,205264,206411,207880,209269,210597,211835,212912,214202,215465,216907,218175,219580,220733,221785,222755,223955,225368,226733,228134,229351,230828,232163,233539,234987,236550,238392,240094,241784,243206,244748,246445,248304,249973,251694,253380,255226,257067,259021,260943,262771,264784,266762,268555,270176,271604,273093,274313,275576,276623,277502,278116,278796,279274,279679,279872,280237,280785,281537,281304,281051,279851,279462,278321,277835,276685,275986,275119,274115,273206,270386,269627,266467,265722,262198,260819,257451,255660,252423,249827,245964,241903,238882,235523,233458,230430,228354,226520,225090,223050,221478,220007,219870,219243,219088,217384,217174,215571,215538,212737,211323,209034,207865,205426,203410,201356,199774,198374,196099,194692,192461,192080,190758,190152,187898,186891,185072,184150,182142,181775,181216,181224,180616,179739,178983,178349,178818,179531,180280,181248,182493,183328,184568,185498,187291,188967,191255,193196,195406,196534,197992,198781,200071,200627,200834,201316,202250,203240,203719,204393,204737,205438,205890,206338,206463,207122,208248,209258,209470,209673,209940,210327,210621,211012,211643,212400,213652,214644,215439,216026,216872,217996,219028,219862,220669,221699,222838,224145,225222,226565,227730,228787,229484,230016,230759,231672,232845,233918,235104,236247,237103,237581,238106,238861,239899,240607,241209,241697,242065,242499,242753,243039,243384,243876,244458,245109,245594,245906,245891,245406,244859,244528,244604,245348,245833,246698,246998,247509,248030,249183,250732,252823,255154,257504,259832,261874,264447,267028,270352
394514,4,"Dallas-Fort Worth, TX",Msa,TX,112230,112293,112454,112775,113120,113369,113547,113769,113991,114328,114658,114990,115049,115141,115169,115337,115430,115626,115856,116109,116405,116745,117029,117385,117839,118290,118653,118762,118986,119236,119624,119975,120338,120261,120261,120173,120764,121539,122530,123485,124294,125134,125886,126409,126749,127437,128271,129076,129389,129719,129965,130209,130389,130561,130750,131048,131498,131956,132361,132749,132990,132817,132636,132539,132722,132741,132814,133028,133251,133402,133444,133590,133800,134224,134587,135081,135537,136239,136940,137543,138028,138467,138975,139515,139761,139778,139562,139478,139563,139812,140062,140293,140596,141019,141450,141772,142505,143864,145849,147443,148332,148673,148985,149454,149902,150395,150809,151314,152067,152308,152306,152112,152336,152761,153187,153605,153966,153912,154054,154036,154290,154765,155211,155664,156055,156483,156747,156823,156941,157581,157987,158422,158416,158350,158323,158465,158698,158876,159033,159401,159922,160253,160381,160395,159733,158710,157432,156570,155851,155332,155016,154545,153751,152789,151886,151210,151077,151404,151836,151922,151874,151640,151563,151458,151607,151763,152334,152645,152691,152460,152231,152358,152258,152212,151508,150793,149851,149159,148276,147797,147460,146906,146295,145378,144836,144187,144018,144021,144251,144327,144225,143902,143730,144168,144720,145338,145722,146232,146825,147351,147821,148247,148884,149601,150482,151107,151921,152794,153855,154919,156066,157199,158503,159807,161111,162278,163192,164190,165028,165876,166673,167637,168349,169378,170285,171527,172703,173998,175519,176975,178643,180262,181955,183624,185384,186912,188358,189709,191221,192895,194458,196029,197547,199254,201103,202861,204821,206505,208242,209875,211696,213562,215210,216927,218409,220106,221695,223347,224781,226276,228008,229879,231612,233049,234443,236069,237897,239575,240988,242347,243540,244665,245416,246310,247323,248701,250259,251190,251704,251743,252199,252539,253071,253534,254334,254542,254942,255069,256180,257090,258273,258737,259418,260356,261892,263695,265619,268207,270942,274124,276820,280352,284288,289582
394974,5,"Philadelphia, PA",Msa,PA,120974,120818,120678,120434,120269,120174,120130,120107,120149,120236,120365,120471,120602,120770,120999,121251,121501,121735,121938,122096,122209,122293,122417,122594,122787,122985,123173,123320,123392,123442,123519,123764,124049,124393,124590,124794,124964,125208,125505,125866,126273,126686,127157,127533,127894,128218,128774,129452,130208,130943,131548,132157,132719,133322,133845,134356,134910,135550,136140,136748,137369,138100,138904,139689,140466,141222,142065,142893,143753,144595,145598,146486,147468,148419,149570,150755,151935,153166,154387,155849,157412,159115,160678,162417,164079,165828,167419,169109,170807,172505,174224,175894,177694,179503,181447,183169,184924,186755,188811,190925,193141,195477,197997,200671,203171,205413,207553,209987,212743,215215,217483,219617,222070,224707,227406,230076,232720,235477,238100,240584,242581,244456,246051,247702,249044,250286,251245,252035,252619,252969,253156,253177,253278,253330,253594,253638,254016,254139,254339,254064,253796,253572,253348,252997,252305,251834,251163,250541,249251,247816,246214,244826,243456,241949,240467,239021,237697,236515,235576,234713,233780,232830,231930,231346,230974,231036,231286,231424,231522,231193,230761,230359,230343,230448,230206,229365,228112,226550,224838,223333,222069,221136,220013,218564,216833,215168,213895,213030,212227,211482,210710,210066,209198,208301,207682,207414,207148,206656,206069,205663,205491,205421,205452,205482,205716,205932,206264,206758,207528,208450,209366,210118,210880,211510,212114,212491,212936,213403,213634,213410,213314,213395,213646,213606,213550,213650,213917,214317,214549,214748,215131,215721,216063,216138,216249,216632,217004,217140,217179,217145,217268,217542,217800,218216,218686,219529,220232,220930,221511,222246,222975,223893,224894,225700,226270,226743,227443,228141,228777,229485,230278,231341,232317,233283,234047,235120,236472,237864,238935,239729,240453,241018,241697,242189,242998,243681,244574,245304,246323,247068,247989,248625,249403,249860,250124,250196,250424,250955,251819,252932,253782,255135,256453,258381,260369,262859,265619,268772,271888,275086,278247,281545,285203,288947
394692,6,"Houston, TX",Msa,TX,109810,109885,109894,110042,110182,110281,110319,110379,110545,110739,111008,111297,111262,111103,110964,111043,111136,111305,111535,111776,111937,112110,112349,112586,113242,113863,114503,114711,114965,115209,115508,115778,116053,116339,116363,116366,116487,117116,117997,118881,119672,120401,121138,121839,122387,122848,123359,123947,124463,124706,124754,124893,124950,125090,125184,125471,125795,126052,126505,126936,127139,127124,126752,126566,126540,126682,126821,126682,126755,126952,127172,127313,127459,127727,128278,128906,129485,130010,130490,131167,131704,132173,132525,132861,133274,133485,133580,133655,133765,134097,134294,134655,134873,135210,135510,135887,136408,137403,138851,140012,141190,141696,142665,143297,144221,145022,145777,146618,147327,147984,148271,148539,148500,148785,148833,148944,148878,148785,148942,148953,149222,149353,149690,149963,150488,150921,151441,151964,152610,153305,153866,154453,154946,155157,155175,155331,155681,156177,156399,156846,157233,157601,157864,158126,157925,157512,156960,156619,156044,155407,154912,154349,153768,153257,152509,151648,151012,150989,151031,150940,150897,151141,151610,151936,152014,151816,151978,152253,152448,152476,152728,152986,153039,152570,151552,150333,149439,148912,148678,148323,147836,147046,145924,144966,144183,143784,143613,143670,143693,143716,143160,142843,142737,143038,143419,143615,143945,144209,144698,145172,145591,145804,146405,147019,147859,148715,150079,151673,153199,154458,155674,156940,158306,159826,161331,162738,164062,165379,166333,167174,167987,169305,170782,172514,174202,175693,177033,178420,179762,180998,182410,183843,185206,186267,187006,187641,188284,189223,189944,190582,191424,192246,192776,193013,193567,194226,195047,195536,195982,196279,197064,197969,198474,199023,199670,200455,200917,201358,201786,202177,202600,203094,203637,204147,204702,205167,205765,206788,207910,208851,209560,210537,211483,212263,212712,213185,214167,214999,215620,215630,216008,216671,217536,218130,218268,218628,218920,219336,219309,219500,220406,221482,222519,223169,224039,225128,226714,228341,230315,232352,234663,237091,239235,241698
395209,7,"Washington, DC",Msa,DC,181033,180806,180674,180395,180275,180121,179954,179845,179867,180005,180064,180133,179913,179786,179604,179703,179654,179730,179880,180005,179946,179853,179922,180004,180406,180782,181275,181457,181649,181760,181874,182063,182364,182571,182734,183022,183549,184330,185079,185824,186506,187299,188106,188827,189657,190590,191760,192815,193867,194789,195713,196629,197707,198867,200248,201756,203323,205024,206719,208682,210575,212450,214404,216570,218828,221029,223132,225294,227508,229767,232213,234681,237225,239634,242143,244764,247591,250527,253576,256795,259927,263048,266076,269219,272280,275638,279000,282261,285175,288084,290937,293877,297033,300834,304908,308887,312729,317068,321668,326611,331800,337706,344454,351482,358704,365049,371142,377251,384134,390579,396943,403817,411568,419294,426277,432618,439066,445553,451092,456006,459965,463821,467406,469646,470956,471186,471147,470526,468232,465585,463604,462350,461010,459451,457915,456726,454939,452105,448806,445423,443019,439868,435946,430776,425998,420911,415129,408598,401269,394832,388672,383337,377881,372947,368328,363983,358930,354296,350016,346537,344289,342900,342131,341240,340218,339705,339869,340774,342065,342418,343154,343960,345301,345331,344804,343900,343580,342948,341506,340107,339139,339388,338984,338501,337203,336741,336072,335836,335218,334749,334783,334697,334540,334500,335474,336653,337925,339291,341066,342693,343984,345657,347712,350234,352897,355021,356875,358718,361303,363717,366101,368641,371812,374587,376934,378433,379987,381480,382690,383670,383745,383786,383929,384100,384222,384158,384237,384358,384093,384581,385351,385804,386053,386338,386828,387122,387240,387764,388195,388950,389549,389306,389273,390046,391922,393311,394347,395136,396388,397360,398456,399836,401799,404179,405539,406347,406281,407018,407984,409657,411046,412599,414179,415068,415663,416099,417510,419185,421328,423079,424539,425128,425428,425774,426130,427399,429035,430991,432395,433241,434196,435082,435540,436209,437050,438485,439910,441229,442494,443851,445416,447351,449146,451404,454636,458315,462416,466412,470845,475521,480625,486070,492061,498649
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,112194,112327,112468,112721,112942,113258,113575,113843,113956,114071,114234,114440,114349,114335,114341,114684,114985,115220,115434,115666,115922,116103,116280,116500,117282,117927,118485,118499,118632,118475,118394,118452,119077,119828,120405,120774,120835,120955,121090,121447,121859,122742,123539,124241,124331,124453,124754,125165,125714,126354,127168,128024,128717,129327,129923,130518,131287,132056,132997,134016,135067,136160,137379,138667,140142,141593,143253,145002,146933,148949,150811,152509,154088,155644,157066,158570,160065,161720,163411,165260,166983,168714,170446,172664,174905,177293,179640,182066,184321,186337,188214,190114,192286,194604,197201,199487,202160,204706,207443,209970,212946,216234,219768,223546,227450,231612,235748,240354,244767,249637,254597,259656,264990,270650,277167,283549,289847,295511,300668,305345,310219,314433,319135,324298,329105,332882,335061,336654,337669,337938,338633,338498,338319,337368,335763,332816,329400,325390,321469,317455,313381,309818,305087,300388,294095,288062,281246,275119,268921,263257,257063,250411,243481,236375,229792,223840,218422,213344,208246,203534,198991,195360,192256,189800,187581,186135,184863,183411,182455,181749,181571,180915,180205,178847,177641,176189,174885,173019,171408,170049,168583,167237,165882,164991,164040,163221,162411,161871,161469,161451,161573,161706,161949,161965,162262,162629,163504,164771,166023,167550,169158,170854,172208,173683,175599,178155,180905,184024,186893,189442,192091,194829,197753,200479,203879,207089,210097,212094,214119,215344,217007,218468,220413,221901,223237,224783,225638,226842,227772,229538,230887,232515,233791,235291,236382,237746,239417,240970,242886,244492,246406,247987,249577,251214,252881,254934,256983,258752,260115,261448,263035,264717,266291,267693,268841,270305,271705,273046,274245,275977,277730,279639,280497,281633,282402,284106,285993,287590,289337,290685,292356,293408,294296,294764,296308,297612,298980,298789,298964,299281,299681,300619,301432,301984,302146,302676,303314,303561,304084,305908,307303,308689,309618,311036,312397,314316,316791,319334,321662,324552,327482,330200,333317,336714
394347,9,"Atlanta, GA",Msa,GA,121883,122115,122338,122834,123322,123852,124324,124792,125235,125715,126210,126742,127092,127484,127903,128479,129016,129461,129962,130551,131211,131845,132387,132943,133832,134710,135510,135966,136549,137206,137928,138571,139198,139834,140634,141368,142047,142693,143486,144376,145232,146130,147076,147973,148876,149749,150645,151514,152313,153195,154134,155222,156279,157315,158291,159342,160388,161489,162480,163551,164553,165506,166337,167102,167925,168697,169488,170249,171001,171696,172390,173062,173732,174407,174999,175589,176083,176598,177044,177440,177833,178248,178673,179002,179371,179689,180107,180394,180697,180986,181306,181653,181973,182272,182584,182963,183265,183592,183917,184404,184824,185170,185527,185987,186495,187026,187499,187967,188498,189071,189640,190176,190808,191495,192085,192636,193245,193923,194669,195325,196054,196678,197222,197620,197972,198423,198982,199507,199952,200303,200701,201173,201674,202152,202679,203041,203263,203209,203049,202707,202160,201526,200820,200276,199305,198124,196553,195296,194057,192726,191131,189405,187777,185975,183681,180668,177822,175169,172863,170202,167717,165592,164227,163141,162135,160943,160104,159733,159300,158720,158013,157820,157737,157328,155842,153810,151362,149360,147387,145895,144280,142959,141098,139093,136638,134470,132914,132265,132366,132453,132272,131374,130824,130288,130784,131370,132314,133267,134286,134797,134795,134947,135822,137141,138708,140420,142168,143830,145653,147580,149514,151719,154134,156497,158417,160378,161976,163446,164449,165479,166324,167083,168067,168925,169840,170617,171468,172275,173096,173876,174555,175362,176417,177664,178634,179632,180608,181537,182421,183170,184249,185315,186750,188136,189338,190171,190892,191725,192438,193508,194670,196175,197269,198493,199613,200835,202104,203616,205265,206691,208348,209829,211494,213116,215057,216916,218428,219859,221403,223163,224886,226525,228083,229658,231062,232154,233049,233852,235071,236279,237604,238418,239249,240097,240936,241619,242267,243099,244226,245491,246724,247777,248813,250209,251931,253917,256119,258704,261618,264825,268142,271744,275604,280038
