table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Texas,"25,145,561","25,146,091","25,241,971","25,645,629","26,084,481","26,480,266","26,964,333","27,470,056","27,914,410","28,295,273","28,628,666","28,995,881"
".Anderson County, Texas","58,458","58,452","58,493","58,394","58,059","57,960","57,829","57,639","57,526","58,175","57,974","57,735"
".Andrews County, Texas","14,786","14,786","14,849","15,386","16,105","16,779","17,435","18,072","17,791","17,603","18,011","18,705"
".Angelina County, Texas","86,771","86,771","86,905","87,297","87,509","87,312","87,567","87,829","87,682","87,572","86,810","86,715"
".Aransas County, Texas","23,158","23,158","23,181","23,216","23,459","23,889","24,566","24,800","25,162","25,392","23,446","23,510"
".Archer County, Texas","9,054","9,061","9,118","8,840","8,816","8,801","8,844","8,763","8,781","8,783","8,700","8,553"
".Armstrong County, Texas","1,901","1,901","1,902","1,936","1,953","1,940","1,913","1,901","1,843","1,867","1,879","1,887"
".Atascosa County, Texas","44,911","44,923","44,965","45,504","46,438","47,021","47,715","48,363","48,720","49,083","50,322","51,153"
".Austin County, Texas","28,417","28,412","28,363","28,604","28,562","28,679","28,968","29,471","29,629","29,722","29,965","30,032"
".Bailey County, Texas","7,165","7,165","7,154","7,175","7,139","7,124","6,966","7,223","7,196","7,066","7,015","7,000"
".Bandera County, Texas","20,485","20,487","20,559","20,541","20,591","20,557","20,813","21,144","21,701","22,327","22,792","23,112"
".Bastrop County, Texas","74,171","74,217","74,371","75,055","74,749","75,814","77,737","80,115","82,591","84,585","86,595","88,723"
".Baylor County, Texas","3,726","3,726","3,708","3,695","3,590","3,577","3,566","3,609","3,638","3,555","3,573","3,509"
".Bee County, Texas","31,861","31,861","31,864","32,318","32,480","32,810","32,841","32,617","32,812","32,592","32,467","32,565"
".Bell County, Texas","310,235","310,159","312,849","315,799","324,963","327,028","330,149","336,076","341,094","347,377","355,397","362,924"
".Bexar County, Texas","1,714,773","1,714,781","1,722,838","1,755,361","1,788,738","1,821,328","1,858,003","1,894,834","1,927,651","1,956,988","1,981,187","2,003,554"
".Blanco County, Texas","10,497","10,483","10,498","10,567","10,616","10,636","10,805","11,029","11,301","11,481","11,648","11,931"
".Borden County, Texas",641,641,646,632,613,646,665,655,657,670,647,654
".Bosque County, Texas","18,212","18,217","18,269","18,259","18,126","17,863","17,716","17,864","18,009","18,295","18,629","18,685"
".Bowie County, Texas","92,565","92,564","92,638","92,808","93,030","93,374","93,268","93,050","93,424","93,458","93,688","93,245"
".Brazoria County, Texas","313,166","313,117","314,428","319,147","324,224","329,890","337,570","345,227","353,155","361,853","368,887","374,264"
".Brazos County, Texas","194,851","194,861","195,666","197,450","200,260","204,116","208,975","216,258","219,739","223,917","225,781","229,211"
".Brewster County, Texas","9,232","9,232","9,258","9,349","9,259","9,287","9,150","9,143","9,211","9,325","9,272","9,203"
".Briscoe County, Texas","1,637","1,637","1,633","1,659","1,576","1,562","1,552","1,514","1,483","1,514","1,512","1,546"
".Brooks County, Texas","7,223","7,223","7,208","7,216","7,196","7,259","7,228","7,190","7,190","7,132","7,099","7,093"
".Brown County, Texas","38,106","38,106","38,076","38,000","37,808","37,671","37,553","37,736","38,039","37,815","37,820","37,864"
".Burleson County, Texas","17,187","17,187","17,237","17,328","17,433","17,269","17,387","17,611","17,848","18,053","18,335","18,443"
".Burnet County, Texas","42,750","42,711","42,762","43,216","43,377","43,580","43,954","44,734","45,817","46,600","47,344","48,155"
".Caldwell County, Texas","38,066","38,055","38,127","38,470","38,682","39,201","39,703","40,419","41,147","42,328","43,161","43,664"
".Calhoun County, Texas","21,381","21,382","21,313","21,359","21,575","21,729","21,812","21,887","21,948","21,712","21,504","21,290"
".Callahan County, Texas","13,544","13,545","13,512","13,511","13,488","13,502","13,505","13,589","13,789","13,968","13,990","13,943"
".Cameron County, Texas","406,220","406,215","407,630","413,201","415,877","417,357","419,005","419,450","421,350","422,227","422,139","423,163"
".Camp County, Texas","12,401","12,401","12,398","12,422","12,487","12,462","12,657","12,699","12,771","12,845","12,983","13,094"
".Carson County, Texas","6,182","6,184","6,162","6,238","6,089","5,988","6,036","6,013","6,096","6,005","6,007","5,926"
".Cass County, Texas","30,464","30,469","30,457","30,281","30,031","30,237","30,123","30,140","30,058","29,966","30,106","30,026"
".Castro County, Texas","8,062","8,063","8,126","8,094","8,262","8,120","7,927","7,787","7,765","7,696","7,588","7,530"
".Chambers County, Texas","35,096","35,107","35,456","35,699","36,508","37,367","38,296","39,028","40,163","41,269","42,227","43,837"
".Cherokee County, Texas","50,845","50,834","50,941","51,090","51,277","51,093","51,189","51,568","51,879","52,116","52,381","52,646"
".Childress County, Texas","7,041","7,041","7,070","7,027","7,100","7,055","7,196","7,169","7,204","7,269","7,315","7,306"
".Clay County, Texas","10,752","10,754","10,737","10,668","10,523","10,455","10,377","10,359","10,251","10,484","10,448","10,471"
